Mode,CRR,CSR,ARSR,RFR,USR,Coverage
baseline,26.67,50.0,50.0,0.0,0.0,26.67
llm,46.67,65.56,65.56,0.0,56.67,43.33
hybrid,43.33,24.44,24.44,0.0,6.67,30.0
